Time,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
2024-04-26 11:00:00,4518.5729,3316.6058,2102.8524,2028.522,4335.5768,3750.9085,2669.1128,2433.709,2870.614,2389.3511,2765.2152,3775.524,3392.763,2748.4026,4233.4714,2751.4396,3187.0995,3331.9329,2372.7886,2191.7586,3491.1518,3492.6111,2741.704,2571.4446,3999.4583,3036.1185,2584.814,2652.6344,3028.961,2764.4227,1999.6338
2024-04-26 11:15:00,4448.0964,3601.2716,1965.9388,2167.2572,4219.9653,3500.0024,2784.3416,2495.5367,2751.4733,2342.6021,2661.2467,3825.2868,3386.0448,2794.1132,4079.744,2889.7003,3595.6373,3119.9927,2704.9672,2365.1274,3656.7116,3154.3196,2672.6122,2378.8941,4005.7597,3169.8424,2420.9187,2451.5432,2963.3113,2546.9148,1970.4872
2024-04-26 11:30:00,4361.375,3542.0697,1939.6538,2096.8121,3905.5173,3495.6197,2856.3035,2473.3385,2752.4737,2116.0352,2537.2525,3960.447,2705.1475,2719.9028,4204.1197,2953.7012,3161.06,3139.4466,2414.3923,2312.3332,3620.0223,2951.1295,2817.697,2262.9504,3925.7766,2990.146,2286.8656,2282.9103,3121.9641,2385.4812,1984.1342
2024-04-26 11:45:00,4362.7612,3255.1342,2146.9229,2043.1094,3920.4199,2907.9429,2683.9316,2277.8282,2891.6206,1995.7692,2291.9038,4703.7907,2504.9609,2256.3093,4233.399,2988.603,2867.7048,3012.6525,2238.178,2223.5103,3034.1441,2595.3023,2476.8107,2267.5704,3440.9703,2920.8149,1932.2133,2348.8781,2649.5664,2354.3897,2044.7985
2024-04-26 12:00:00,4126.9155,3350.6677,2007.9912,2189.5795,3943.2798,2702.4799,2344.3221,1985.5539,2607.3557,1940.5607,2245.9235,4708.9852,2330.3565,2147.3742,3895.1233,2951.3256,3043.9409,2885.6218,2410.371,2122.5858,2959.9268,2568.7285,2167.8983,2513.5438,3032.0391,2764.8841,1930.7735,2301.1662,2556.3207,2424.4862,2071.2687
2024-04-26 12:15:00,3996.4952,3083.0884,2054.6058,2361.4141,3817.5274,2791.7714,2641.667,2152.4452,2401.499,1945.9064,2393.42,4788.0006,2122.6344,2041.2119,4023.4067,2649.048,3269.8245,2905.3823,2028.7822,2176.9541,2691.0912,2535.9704,2266.1135,2835.7476,2667.5849,2573.5406,1900.8231,2207.5998,2352.4079,2539.0,2187.5185
2024-04-26 12:30:00,4120.5215,3329.8906,2101.6406,2155.1292,3708.9254,2744.414,2517.9174,2272.4907,2369.7009,1878.8067,2223.7166,4402.9099,2232.5997,2015.2539,4202.7718,2701.8226,3359.2123,2925.4523,2064.0007,3377.7477,3082.2148,2218.0446,2340.1645,2336.8331,2783.7907,2542.9384,1895.3161,2244.5131,2469.8506,2652.8562,2238.9619
2024-04-26 12:45:00,4398.1533,3863.0291,2022.9648,2618.8992,4057.3243,3046.6922,2544.9562,2391.9498,2288.9056,2045.6967,2378.6806,4495.5497,2331.2841,2311.4613,3873.2419,2229.8572,3363.3943,2734.2244,2266.1616,3500.791,3338.4501,2440.3371,2166.5346,2497.8994,2819.8873,2598.4765,2035.9479,2525.8831,2704.0183,2314.7122,2229.1805
2024-04-26 13:00:00,4260.5863,3893.3792,2147.745,2482.6942,3978.1646,3194.2228,2659.6952,2483.2889,2181.2733,1791.5837,2750.1938,4756.9185,2465.1347,2490.8561,4180.3968,2393.913,3203.1399,3006.2604,2336.5401,3565.1279,2985.5041,2628.8195,2477.7978,2479.6217,3088.7012,3052.1593,2210.7731,2521.5247,2585.2362,2361.1154,2189.9144
2024-04-26 13:15:00,3821.8863,3936.4321,1945.5133,2755.8756,3935.5993,3349.7853,2388.6365,2061.747,2344.02,1781.0786,2809.7949,4933.2594,2593.9533,2592.5982,4208.0188,3333.2986,3158.6083,3085.9872,2377.6602,3555.8579,3078.0341,2703.437,2740.1173,2523.4006,3297.9926,3375.6709,2120.234,2553.5122,2599.7726,2259.9104,2084.5153
